Time,CPU_Utilization,RAM_Utilization
0,70.26766836624427,71.89336501303308
1,73.99204586853303,77.01692141968879
2,82.77089669762297,99.89573910590451
3,81.53774134473657,94.3013332503171
4,82.89739396626977,99.57817093375297
5,89.08370952033847,88.74228060769752
6,92.79075559181899,84.34789094418512
7,86.12871802378534,80.62294034978964
8,90.96444680153924,94.35550326444965
9,82.48420924946072,96.56939904436483
10,82.20684629725197,96.89092918053889
11,86.06661718862557,96.80406019462842
12,91.52394267227469,94.24514528215931
13,89.28152565069723,80.7472990499974
14,87.93636553460773,98.8377620527017
15,82.54761351414983,93.92315902292195
16,81.36220689892268,95.66370980953613
17,81.69047739925404,92.23561105376365
18,90.57929880245575,93.23263706623513
19,92.75517160644127,95.47488756539491
20,90.92759815625286,96.33672869892035
21,83.05591292470518,97.14520379472951
22,89.48638834912144,96.85893546491693
23,92.51835935020732,85.09646045765692
24,81.25915869332844,93.82908053257157
25,86.16339653130133,95.04707448852393
26,80.16105646835301,88.40411416433341
27,88.62322829622399,88.95139667994339
28,98.3475989571532,90.7377977644646
29,83.6565472575085,87.7229595588879
30,80.09275627634001,83.11745460416802
31,99.74649805790722,81.58834410522404
32,87.69108394017391,89.37444150536324
33,87.68908171377765,81.11143027909034
34,83.53076026742997,99.34095278214764
35,94.72857847595569,91.78073181547035
36,90.73729852517893,93.53755221883627
37,96.38048316721368,87.51542361880611
38,89.74012468069975,97.47851914745723
39,89.66635194258032,88.08350451772374
40,80.71101149033305,98.35892232922173
41,90.60993327579575,95.6155079992361
42,69.38611745989783,46.0977387155181
43,40.30499568555965,55.960595291640644
44,48.73343347792867,39.40861965637265
45,37.15776617532283,49.153130829868815
46,65.54342134228722,41.99599900766563
47,52.45173677276658,30.25473488269838
48,48.81359492452212,57.72479248253652
49,32.82220265134348,45.528490060820346
50,47.14522979197423,46.705852948812854
51,39.627750502568375,56.62270821221075
52,52.49232568238476,33.004045719722356
53,58.58034222250619,31.519926196817924
54,40.60112520178709,47.94399991842512
55,43.05413865898964,32.40642385367792
56,65.89648779725574,48.79716513867662
57,59.08738613758166,42.66431878617837
58,61.78344825579787,60.954080648051466
59,67.2458985186319,68.51100778073959
60,66.90512313741593,55.246039477087
61,50.674089827572715,36.03951556724189
62,58.953496817268274,69.53572454438498
63,36.365486641768065,42.119142767631274
64,69.85722036608732,52.002809471226655
65,31.3940758973038,47.23015268647694
66,37.87090540290465,52.142542599322255
67,38.791750488308246,56.923627979463845
68,36.766398052328235,36.21968797366492
69,51.844668464689505,67.050783312975
70,36.81936206376743,44.845929165597624
71,67.35833200482793,45.97434646578411
72,52.33283934059173,58.846806773696095
73,65.59471310782433,52.89593471310781
74,39.29576937048574,30.066326552695912
75,56.27885531176859,37.79950350860644
76,48.482485821132315,55.5119354254849
77,60.0407924712115,62.86826495952434
78,40.136834701463755,69.57495456803551
79,32.52949186856095,42.19170969617833
80,57.37932111430894,39.75608088567438
81,35.58117202334187,37.26578855602492
82,30.647518007349067,57.15091690310924
83,48.25663383070953,36.141051457314724
84,31.927910357900075,46.73980902830117
85,43.65524951047965,44.06458803600331
86,59.67373174148499,52.46719046195736
87,13.338678539343316,9.010895625712482
88,5.92471960643451,6.740475654352041
89,7.728608117540545,18.69303529856343
90,9.07163995815617,10.91512179219996
91,13.950867784070148,7.7883438351182415
92,10.289161172507438,15.803791121885387
93,16.70938557091379,12.044883744672829
94,11.832165921356285,8.196657178653568
95,13.315865019617542,16.677176962092986
96,12.954948423677552,13.060800891452661
97,5.352395323051319,6.03344937915483
98,8.344585333978458,14.066628209490855
99,17.10789365674173,5.54545777106407
100,5.733756779456273,16.487319562036532
101,9.542800274815008,12.119350685646577
102,10.346334314518776,10.769410430670204
103,43.82308286726824,40.34655212824086
104,44.31479295206752,47.36601378570067
105,42.05527461667539,49.48390531785699
106,67.47276574181436,62.08621583976521
107,53.13053331059896,65.76500808628424
108,42.97110756146775,34.46040791944456
109,35.8758989500954,45.45121395775287
110,54.16299141027886,54.04310293096758
111,57.228747674278495,55.05693755057193
112,50.69884981026801,30.535266999715066
113,42.81694050059612,37.05916115570861
114,31.03497421199271,68.1596771373054
115,53.02884289432135,62.254629587831
116,35.732636197789205,51.720353618234135
117,49.085953527136475,48.39322593402996
118,30.275501237794632,51.113639406412766
119,38.43149959924105,48.95177228779322
120,51.530687685548074,47.449246714704366
121,38.20242098075852,37.63542717411888
122,51.4957364557515,36.63186841696546
123,43.71124732058322,39.96086853169755
124,64.5626278786984,56.59605774793662
125,59.06029434090393,61.003413190833335
126,49.28179007016464,52.56147401824093
127,47.43496940176191,36.25935425415279
128,37.6501907852887,53.72864045337482
